start_date,age,gender,gender_spec,location,education,ccd01,ccd02,ccd03,ccd04,ccd05,ccd06,ccd07,ccd08,ccd09,ccd10,ccd11,ccd12,ccd13,ccd14,ccd15,ccd16,ccd17,ccd18,trust01,trust02,trust03,trust04,trust05,trust06,trust07,trust08,trust09,trust10,trust11,trust12,trust13,trust14,asc01,asc02,asc03,asc04,asc05,asc06,asc07,asc08,asc09,asc10,asc11,asc12,asc13,asc14,asc15,asc16,asc17,asc18,sdo01,sdo02,sdo03,sdo04,sdo05,sdo06,sdo07,sdo08,lib_cons,cons01,cons02,cons03,cons04,cons05,cons06,cons07,cons08,cons09,cons10,cons11,cons12,cons13,cons14,cons15,feedback
21/08/2018 19:07,27,2,NA,3,6,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,3,2,3,1,2,3,2,2,1,2,3,2,1,6,7,6,6,7,6,7,7,6,7,6,7,6,6,7,6,7,6,6,6,7,7,6,7,6,7,6,4,5,4,5,4,4,4,5,5,4,4,4,5,4,5,"very nice,this survey is very interesting"
21/08/2018 19:10,25,2,NA,7,5,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,2,2,2,2,2,3,2,2,3,NA,3,2,2,3,2,5,6,5,4,5,6,5,4,5,5,4,5,5,6,5,5,4,5,5,6,5,4,5,6,5,4,4,4,5,4,3,4,3,4,3,4,3,4,3,4,3,4,it was very good experience
21/08/2018 19:06,25,1,NA,2,5,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,3,3,1,1,4,4,3,4,3,4,7,3,7,7,6,3,2,7,7,5,6,4,6,5,5,6,5,5,7,2,3,4,5,7,3,5,5,2,4,3,4,5,2,5,5,5,5,2,5,5,NA
21/08/2018 19:13,31,1,NA,4,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,1,2,2,1,3,3,3,2,3,3,2,3,1,1,7,1,6,7,4,5,3,3,3,5,1,1,5,6,5,2,5,3,6,2,3,3,5,5,3,3,2,1,1,2,2,1,1,1,2,3,1,1,3,5,I like how the survey didn't include any writing sections.
21/08/2018 19:16,31,2,NA,7,4,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,7,1,7,7,7,1,1,7,7,5,1,1,7,7,7,7,1,NA,1,7,1,7,7,7,1,4,4,1,1,1,1,1,1,1,5,1,1,1,4,4,NA
21/08/2018 19:13,59,1,NA,3,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,5,6,5,6,5,6,5,6,6,6,5,5,6,2,2,5,6,1,6,6,6,3,4,4,2,1,1,4,4,2,4,4,2,4,2,4,4,NA
21/08/2018 19:40,27,2,NA,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,5,4,3,4,3,4,3,4,3,4,3,4,5,6,7,6,6,7,7,6,6,7,6,7,7,6,7,6,6,7,6,6,7,6,7,6,7,6,7,2,4,5,4,4,5,4,5,4,4,5,4,5,4,5,4,VERY NICE
21/08/2018 19:42,27,2,NA,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,3,4,3,3,2,3,3,2,3,7,6,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,6,7,6,7,6,7,6,6,6,4,5,4,4,5,4,5,4,4,5,5,4,5,4,4,very nice
21/08/2018 19:39,32,1,NA,3,5,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,3,2,2,2,2,3,2,3,3,3,4,4,2,2,2,3,2,5,4,4,5,3,4,5,3,5,3,5,2,4,3,5,3,5,5,5,6,3,5,5,4,2,4,3,4,3,3,4,3,3,3,4,2,3,2,3,NA
21/08/2018 19:39,70,1,NA,8,6,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,5,6,6,3,5,5,5,6,5,6,3,3,3,5,2,2,6,6,2,2,6,6,3,2,2,1,2,1,1,1,1,2,2,2,2,1,2,2,none.
21/08/2018 19:41,32,2,NA,6,4,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,2,1,2,3,2,1,1,1,1,2,3,2,2,5,2,3,5,5,3,6,5,5,5,1,1,7,6,7,2,1,1,7,7,1,1,7,7,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,NA
21/08/2018 19:41,35,1,NA,8,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,6,3,5,6,7,1,1,6,6,3,1,1,7,7,7,1,1,1,7,7,1,1,7,7,2,4,3,2,2,1,3,2,5,1,1,2,2,1,4,4,NA
21/08/2018 19:41,57,2,NA,10,5,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,4,3,3,5,3,5,5,3,4,5,4,4,3,3,3,5,1,1,7,7,1,1,7,7,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,4,NA
21/08/2018 19:40,49,1,NA,4,5,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,6,6,4,4,6,4,5,6,5,5,3,3,3,4,4,3,5,6,3,3,5,6,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA
21/08/2018 19:47,48,2,NA,3,5,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,3,2,3,3,3,3,3,3,3,6,4,6,6,3,4,4,3,4,4,4,3,5,4,2,4,1,1,6,7,3,3,5,5,4,1,2,1,2,2,1,1,1,1,2,2,1,1,3,4,NA
21/08/2018 20:12,30,2,NA,9,5,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,5,2,3,4,2,5,3,5,3,2,3,4,3,4,6,4,7,5,6,4,6,5,6,3,6,5,6,5,6,3,6,5,6,4,5,3,6,5,6,7,6,4,3,4,3,4,4,3,5,4,5,4,3,4,4,3,nice
21/08/2018 20:11,29,1,NA,1,4,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,3,2,2,3,2,2,1,2,2,2,2,1,1,2,3,3,5,2,6,5,6,2,2,5,6,4,4,2,4,2,6,3,6,5,1,1,1,6,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
21/08/2018 20:13,30,2,NA,NA,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,5,7,7,3,5,3,3,6,5,5,3,6,6,3,5,5,4,5,6,2,2,6,6,3,1,4,1,1,1,3,3,4,1,1,1,3,1,4,5,NA
21/08/2018 20:13,28,1,NA,10,4,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,6,4,6,6,6,3,4,4,5,5,6,5,5,5,4,4,4,3,5,5,3,6,3,5,2,1,1,2,2,2,1,1,2,1,3,2,1,2,2,3,NA
21/08/2018 20:17,56,2,NA,8,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,4,3,3,5,4,5,5,4,5,4,4,4,4,4,4,6,6,5,4,5,5,4,4,5,5,4,4,3,2,2,2,2,2,2,2,3,2,2,3,3,3,4,5,thanx
21/08/2018 20:13,25,1,NA,8,2,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3,3,1,2,1,1,1,2,2,2,4,4,5,4,6,6,3,4,3,5,4,4,2,2,6,4,3,4,3,2,6,6,2,3,3,5,4,3,3,2,2,2,3,2,2,2,2,2,2,3,2,2,NA
21/08/2018 20:20,30,2,NA,3,5,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,4,2,2,2,2,2,2,3,3,3,3,3,3,5,5,4,5,5,5,5,6,6,6,5,5,5,5,4,5,5,5,5,5,4,5,5,5,6,6,2,3,4,4,3,3,4,4,4,3,3,3,3,4,4,4,no comments
21/08/2018 20:12,30,1,NA,7,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,3,2,1,2,1,2,4,4,4,3,4,4,4,3,2,2,2,2,6,6,6,2,2,6,6,4,2,2,4,4,3,5,1,1,7,7,1,1,7,7,3,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,Enjoyed
21/08/2018 20:44,28,1,NA,4,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,2,7,7,6,4,4,4,6,4,6,2,2,6,4,2,1,1,7,7,2,1,7,7,1,4,3,2,2,2,4,2,3,4,4,5,3,3,4,5,NA
21/08/2018 20:44,49,1,NA,3,6,2,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,2,2,4,2,4,2,4,2,2,4,2,2,6,3,6,6,2,6,6,2,4,6,1,1,6,7,5,4,1,1,7,4,4,4,4,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
21/08/2018 20:45,34,1,NA,3,2,2,2,2,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,4,4,4,4,3,4,3,4,5,3,5,4,3,4,1,1,1,1,7,1,3,3,5,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,NA
21/08/2018 20:44,59,1,NA,8,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,4,4,5,5,4,5,3,5,4,2,3,4,3,2,6,6,6,2,1,1,7,7,1,1,7,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,NA
